,precision,recall,f1-score,support
Real,0.9591899355630562,0.8883205456095482,0.9223959870168191,7038.0
Fake,0.8967012748061506,0.9624770771618,0.9284256361409715,7089.0
accuracy,0.9255326679408226,0.9255326679408226,0.9255326679408226,0.9255326679408226
macro avg,0.9279456051846033,0.9253988113856741,0.9254108115788953,14127.0
weighted avg,0.9278328097680747,0.9255326679408226,0.9254216954220797,14127.0
